Original row	Golub	Expected score (dExp)	 Observed score(d)	Numerator(r)	Denominator (s+s0)	Fold change(Unlogged)	ALL1	ALL2	ALL3	ALL4	ALL5	ALL6	ALL7	ALL8	ALL9	ALL10	ALL11	ALL12	ALL13	ALL14	ALL15	ALL16	ALL17	ALL18	ALL19	ALL20	ALL21	ALL22	ALL23	ALL24	ALL25	ALL26	ALL27	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11
2111	Gene2111	-0.4912032	6.047543	1831.9528	302.92514	NaN	835.0	3072.0	609.0	935.0	1665.0	499.0	764.0	1323.0	1741.0	1188.0	1870.0	1030.0	1482.0	892.0	1306.0	593.0	2376.0	542.0	809.0	2475.0	1514.0	1977.0	672.0	1235.0	933.0	1114.0	-9.0	2702.0	1736.0	3553.0	3255.0	4249.0	1871.0	3236.0	1125.0	4647.0	3808.0	3594.0
3847	Gene3847	0.05141423	6.2038503	609.35693	98.22238	Infinity	393.0	118.0	667.0	410.0	119.0	147.0	735.0	248.0	258.0	409.0	306.0	15.0	87.0	188.0	99.0	67.0	-226.0	102.0	432.0	359.0	149.0	160.0	366.0	770.0	267.0	59.0	-187.0	822.0	1137.0	1050.0	1157.0	1083.0	1099.0	652.0	262.0	618.0	805.0	673.0
1882	Gene1882	-0.5702896	6.2119374	7279.101	1171.7924	NaN	303.0	1358.0	254.0	-304.0	-86.0	1168.0	-233.0	-247.0	336.0	498.0	-376.0	107.0	-97.0	820.0	76.0	36.0	375.0	22.0	-180.0	205.0	-124.0	-102.0	425.0	-205.0	-229.0	66.0	34.0	1073.0	6962.0	14555.0	7238.0	12339.0	3654.0	1537.0	1481.0	17863.0	13296.0	1661.0
3258	Gene3258	-0.12907587	6.30496	3779.1248	599.3892	NaN	1298.0	1379.0	1496.0	1401.0	1894.0	528.0	1747.0	1514.0	803.0	1939.0	587.0	1347.0	1489.0	1784.0	2286.0	944.0	1888.0	2111.0	1983.0	2731.0	1962.0	1739.0	585.0	1571.0	1395.0	1437.0	990.0	7113.0	3717.0	11618.0	1262.0	3088.0	5749.0	4719.0	1106.0	5868.0	6903.0	7061.0
1249	Gene1249	-0.81648153	6.3325396	2700.899	426.51117	NaN	543.0	2972.0	485.0	740.0	2453.0	375.0	961.0	404.0	783.0	1288.0	733.0	2095.0	1405.0	742.0	1718.0	623.0	1016.0	1198.0	1010.0	1969.0	1377.0	791.0	596.0	868.0	635.0	827.0	190.0	6718.0	1766.0	4915.0	2056.0	4136.0	4126.0	3127.0	853.0	6159.0	5503.0	2083.0
6201	Gene6201	0.96166545	6.4147034	9604.687	1497.2924	NaN	333.0	5345.0	301.0	241.0	93.0	215.0	159.0	455.0	445.0	522.0	1278.0	3684.0	116.0	94.0	29.0	38.0	282.0	136.0	-53.0	119.0	118.0	206.0	146.0	185.0	9270.0	183.0	150.0	15202.0	3104.0	6506.0	2096.0	12715.0	21147.0	8054.0	216.0	17022.0	19361.0	10043.0
2288	Gene2288	-0.43254262	6.5764155	3660.4075	556.5961	Infinity	-283.0	-65.0	-395.0	-367.0	290.0	-40.0	-366.0	-656.0	-231.0	-36.0	-152.0	41.0	-104.0	-140.0	-198.0	-102.0	-158.0	-76.0	-108.0	-58.0	-151.0	-243.0	-275.0	-263.0	-203.0	-53.0	-398.0	-21.0	6569.0	7372.0	4833.0	141.0	2000.0	4830.0	-312.0	4573.0	6759.0	1569.0
1834	Gene1834	-0.5871262	6.6202154	592.23566	89.45867	Infinity	261.0	101.0	309.0	288.0	395.0	58.0	84.0	251.0	155.0	167.0	140.0	287.0	152.0	145.0	81.0	202.0	286.0	141.0	155.0	180.0	139.0	124.0	108.0	102.0	203.0	128.0	84.0	316.0	555.0	1130.0	1338.0	774.0	443.0	1450.0	781.0	970.0	408.0	275.0
4196	Gene4196	0.16150093	6.726705	5465.912	812.56903	NaN	177.0	3460.0	416.0	392.0	7972.0	597.0	403.0	140.0	848.0	1094.0	1343.0	5252.0	2408.0	2525.0	2133.0	1232.0	1150.0	1232.0	1519.0	180.0	1912.0	354.0	178.0	1687.0	3711.0	1750.0	291.0	7858.0	8859.0	11003.0	5849.0	3259.0	8855.0	8518.0	3628.0	10603.0	8479.0	1285.0
5039	Gene5039	0.4445105	6.9379206	883.3064	127.31573	Infinity	600.0	337.0	574.0	716.0	524.0	270.0	463.0	689.0	262.0	167.0	174.0	258.0	201.0	180.0	625.0	330.0	784.0	314.0	146.0	636.0	371.0	180.0	780.0	655.0	402.0	190.0	273.0	733.0	1296.0	647.0	1085.0	1467.0	1513.0	1807.0	1038.0	1051.0	1064.0	2538.0
1745	Gene1745	-0.6197865	7.113249	1436.266	201.9142	Infinity	365.0	624.0	108.0	873.0	686.0	302.0	325.0	244.0	273.0	144.0	34.0	399.0	281.0	589.0	854.0	289.0	534.0	540.0	44.0	616.0	447.0	239.0	9.0	515.0	50.0	268.0	483.0	679.0	1305.0	2694.0	1028.0	2680.0	3223.0	1674.0	735.0	2727.0	2399.0	784.0
2020	Gene2020	-0.52247584	7.824384	1025.9763	131.1255	NaN	654.0	1283.0	1286.0	915.0	732.0	691.0	853.0	1238.0	822.0	885.0	680.0	412.0	548.0	1157.0	387.0	707.0	1822.0	738.0	907.0	860.0	92.0	686.0	803.0	803.0	842.0	514.0	561.0	1929.0	1647.0	2112.0	1555.0	1514.0	2693.0	1811.0	1406.0	1707.0	2072.0	1753.0
4847	Gene4847	0.37731358	8.454445	2673.7476	316.25348	Infinity	298.0	307.0	309.0	693.0	713.0	247.0	52.0	-215.0	-223.0	492.0	-25.0	408.0	724.0	360.0	938.0	848.0	926.0	390.0	615.0	827.0	68.0	122.0	-108.0	222.0	700.0	433.0	-674.0	2224.0	3348.0	6218.0	1548.0	3297.0	3482.0	2947.0	1050.0	4863.0	2612.0	1671.0
3320	Gene3320	-0.11003392	8.496385	1584.404	186.4798	NaN	1124.0	1062.0	1398.0	942.0	928.0	842.0	1066.0	1668.0	966.0	1175.0	626.0	747.0	706.0	864.0	515.0	825.0	1837.0	883.0	1309.0	817.0	383.0	825.0	731.0	899.0	1171.0	805.0	1286.0	1641.0	2545.0	3818.0	2943.0	2535.0	1373.0	2402.0	2137.0	3965.0	2539.0	2286.0
